Movie Title,IMDB Rating,Minutes,Parental Guidance Rating,Review Count,Year
The Great Dictator,8.4,125,G,232000,1940
The Great Escape,8.2,172,Approved,253000,1963
The Green Mile,8.6,189,R,1400000,1999
The Handmaiden,8.1,145,Not Rated,162000,2016
The Help,8.1,146,PG-13,479000,2011
The Hunt,8.3,115,R,349000,2012
The Incredibles,8,115,PG,778000,2004
The Intouchables,8.5,112,R,897000,2011
The Iron Giant,8.1,86,PG,215000,1999
The Kid,8.2,68,Passed,131000,1921
The Lion King,8.5,88,G,1100000,1994
The Lives of Others,8.4,137,R,401000,2006
The Lord of the Rings: The Fellowship of the Ring,8.8,178,PG-13,1900000,2001
The Lord of the Rings: The Return of the King,9,201,PG-13,1900000,2003
The Lord of the Rings: The Two Towers,8.8,179,PG-13,1700000,2002
The Matrix,8.7,136,R,2000000,1999
The Passion of Joan of Arc,8.1,114,Passed,58000,1928
The Pianist,8.5,150,R,876000,2002
The Prestige,8.5,130,PG-13,1400000,2006
The Secret in Their Eyes,8.2,129,R,217000,2009
The Seventh Seal,8.1,96,Not Rated,193000,1957
The Shawshank Redemption,9.3,142,R,2800000,1994
The Shining,8.4,146,R,1100000,1980
The Silence of the Lambs,8.6,118,R,1500000,1991
The Sixth Sense,8.2,107,PG-13,1000000,1999
The Sound of Music,8.1,172,G,249000,1965
The Sting,8.3,129,PG,273000,1973
The Terminator,8.1,107,R,899000,1984
The Thing,8.2,109,16+,447000,1982
The Third Man,8.1,93,Approved,177000,1949
The Treasure of the Sierra Madre,8.2,126,Passed,130000,1947
The Truman Show,8.2,103,PG,1100000,1998
The Usual Suspects,8.5,106,R,1100000,1995
The Wages of Fear,8.2,131,Not Rated,64000,1953
The Wizard of Oz,8.1,102,G,416000,1939
The Wolf of Wall Street,8.2,180,R,1500000,2013
There Will Be Blood,8.2,158,R,618000,2007
"Three Billboards Outside Ebbing, Missouri",8.1,115,R,535000,2017
To Be or Not to Be,8.2,99,Passed,41000,1942
To Kill a Mockingbird,8.3,129,Approved,326000,1962
Tokyo Story,8.1,136,Not Rated,66000,1953
Top Gun: Maverick,8.3,130,PG-13,628000,2022
Toy Story,8.3,81,G,1000000,1995
Toy Story 3,8.3,103,G,868000,2010
Trainspotting,8.1,93,R,709000,1996
Unforgiven,8.2,130,R,426000,1992
Up,8.3,96,PG,1100000,2009
V for Vendetta,8.2,132,R,1200000,2005
Vertigo,8.3,128,PG,416000,1958
WALL·E,8.4,98,G,1200000,2008
Warrior,8.1,140,PG-13,487000,2011
Whiplash,8.5,106,R,930000,2014
Wild Strawberries,8.1,91,Not Rated,112000,1957
Wild Tales,8.1,122,R,209000,2014
Witness for the Prosecution,8.4,116,Approved,132000,1957
Yojimbo,8.2,110,Not Rated,128000,1961
Your Name.,8.4,106,TV-PG,298000,2016
